date,product,amount
2026-01-05,Widget A,120.50
2026-01-07,Widget B,75.00
2026-01-07,Widget A,120.50
2026-01-12,Gadget X,"1,250.75"
2026-01-20,Widget A,95.25
01/22/2026,Gadget Y,60.00
2026-02-01,Widget B,"$1,200.50"
2026-02-03,Gadget X,310.00
2026-02-03,Gadget X,310.00
2026-02-10,Thingamajig,45.00

2026-02-14,Widget A,
2026-02-18,Gadget Y,N/A
2026-02-25,Widget B,88.40
2026-03-01,Gadget X,275.00
13/45/2026,Widget A,150.00
2026-03-08,Thingamajig,52.75
2026-03-15,Widget B,99.99
2026-03-22,Gadget Y,64.10
2026-03-30,Widget A,110.00
